dep_tdb,tof_days,c3,vinf_in_x,vinf_in_y,vinf_in_z,vinf_out_x,vinf_out_y,vinf_out_z,arr_tdb,dep_idx,tof_idx
2026-01-01T00:01:09.184,180.0,356.94134707952537,8.654165139651955,-4.572629901884882,-2.8183630264163995,9.757891754569812,-14.924351661768235,-6.244087047879745,2026-06-30T00:01:09.184,0,0
2026-01-01T00:01:09.184,190.0,350.13687623884675,7.717313943765584,-4.91391298637128,-2.9689958314323546,9.859749932035108,-14.642719580848183,-6.205881951280226,2026-07-10T00:01:09.184,0,1
2026-01-01T00:01:09.184,200.0,354.128784492729,7.036412277665013,-5.463776285938884,-3.227324458235323,10.101750154648734,-14.58539081388145,-6.272942141621096,2026-07-20T00:01:09.184,0,2
2026-01-01T00:01:09.184,210.0,369.7604209033858,6.63644231373566,-6.198699359882751,-3.5837656845968855,10.515532750413524,-14.751891012265052,-6.447146922524723,2026-07-30T00:01:09.183,0,3
2026-01-01T00:01:09.184,220.0,398.92930856432747,6.553061975768088,-7.096013428732209,-4.0294655754572375,11.146134295328427,-15.145032016936081,-6.73208764357773,2026-08-09T00:01:09.183,0,4
2026-01-01T00:01:09.184,230.0,444.8064313675103,6.8362808208601,-8.129089274003059,-4.554075922701874,12.056032865981443,-15.767132289576711,-7.131342248474198,2026-08-19T00:01:09.183,0,5
2026-01-01T00:01:09.184,240.0,512.1096395029246,7.553742884466869,-9.25917731522448,-5.141866461847067,13.329100151886443,-16.613122672549455,-7.645186963752332,2026-08-29T00:01:09.183,0,6
2026-01-01T00:01:09.184,250.0,607.28554531696,8.790806998277791,-10.422137824434177,-5.765207944049116,15.071757292308753,-17.65850809028468,-8.264669954937606,2026-09-08T00:01:09.183,0,7
2026-01-01T00:01:09.184,260.0,738.2359522125032,10.64120322473487,-11.50949569203647,-6.374943476306881,17.405109438394256,-18.840830119382733,-8.962211672493726,2026-09-18T00:01:09.182,0,8
2026-01-01T00:01:09.184,270.0,912.9104190965991,13.178081011781776,-12.348515303483001,-6.889636403086543,20.437522130427773,-20.037834533963586,-9.680046252697887,2026-09-28T00:01:09.182,0,9
2026-01-01T00:01:09.184,280.0,1136.033252311736,16.397285556244242,-12.698201020078617,-7.191764397365117,24.20857180773922,-21.057102919507752,-10.323600146195508,2026-10-08T00:01:09.182,0,10
2026-01-01T00:01:09.184,290.0,1404.3645348972882,20.14686371485641,-12.290251058060985,-7.145601317555683,28.61678094604919,-21.664874277461134,-10.773931767229973,2026-10-18T00:01:09.182,0,11
2026-01-01T00:01:09.184,300.0,1703.5852987833678,24.09870461706092,-10.927207281480216,-6.6445428891937866,33.385714211273104,-21.669172697698468,-10.928235904476265,2026-10-28T00:01:09.182,0,12
2026-01-01T00:01:09.184,310.0,1853.7324561095838,26.042182899182936,-12.092503415417426,-5.936313337740695,23.230202355067256,33.06537846502717,14.858361336861106,2026-11-07T00:01:09.183,0,13
2026-01-01T00:01:09.184,320.0,1776.7292823118441,26.06200298483809,-10.41580519208227,-5.171612409630726,21.738132501718788,32.929863447068776,14.825888540217932,2026-11-17T00:01:09.183,0,14
2026-01-01T00:01:09.184,330.0,1702.2767105230612,25.98151946723823,-8.788032857954416,-4.4259491641370925,20.303131381735955,32.741308037891656,14.767068584757132,2026-11-27T00:01:09.183,0,15
2026-01-01T00:01:09.184,340.0,1630.3080435223565,25.807127052839245,-7.212202464401745,-3.70090415683807,18.923844078861553,32.504892091776625,14.684282716675352,2026-12-07T00:01:09.183,0,16
2026-01-01T00:01:09.184,350.0,1560.75660923874,25.545095080216555,-5.690715474121562,-2.997764332420913,17.598819529910195,32.2253134119006,14.579689156397361,2026-12-17T00:01:09.183,0,17
2026-01-01T00:01:09.184,360.0,1493.5555368424232,25.20149420216196,-4.22543779468268,-2.317558246953533,16.326534698478792,31.906830031658547,14.455241226373346,2026-12-27T00:01:09.184,0,18
2026-01-01T00:01:09.184,370.0,1428.6377276236685,24.78214211896847,-2.8177731645911575,-1.661088145666306,15.105415905460196,31.55329858979235,14.312703659691502,2027-01-06T00:01:09.184,0,19
2026-01-01T00:01:09.184,380.0,1365.9359488928003,24.292567296114413,-1.4687330319653942,-1.028961189641116,13.933857460383742,31.168209260793557,14.153667250641844,2027-01-16T00:01:09.184,0,20
