flyby_tdb,rp_km,theta_deg,delta_deg,vinf_out_mag_kms
2035-08-29T00:00:00.000,3896.2,-29.999999999999996,13.931389055390284,8.924541589977329
2035-08-29T00:00:00.000,3896.2,-14.999999999999998,13.931389055390284,8.924541589977329
2035-08-29T00:00:00.000,3896.2,0.0,13.931389055390284,8.92454158997733
2035-08-29T00:00:00.000,3896.2,15.000000000000002,13.931389055390284,8.924541589977329
2035-08-29T00:00:00.000,3896.2,29.999999999999996,13.931389055390284,8.924541589977329
2035-08-29T00:00:00.000,4951.7555555555555,-29.999999999999996,11.242894183284518,8.924541589977329
2035-08-29T00:00:00.000,4951.7555555555555,-14.999999999999998,11.242894183284518,8.924541589977327
2035-08-29T00:00:00.000,4951.7555555555555,0.0,11.242894183284518,8.924541589977327
2035-08-29T00:00:00.000,4951.7555555555555,15.000000000000002,11.242894183284518,8.924541589977329
2035-08-29T00:00:00.000,4951.7555555555555,29.999999999999996,11.242894183284518,8.924541589977329
2035-08-29T00:00:00.000,6007.311111111111,-29.999999999999996,9.425190125350154,8.924541589977329
2035-08-29T00:00:00.000,6007.311111111111,-14.999999999999998,9.425190125350154,8.924541589977329
2035-08-29T00:00:00.000,6007.311111111111,0.0,9.425190125350154,8.924541589977329
2035-08-29T00:00:00.000,6007.311111111111,15.000000000000002,9.425190125350154,8.924541589977329
2035-08-29T00:00:00.000,6007.311111111111,29.999999999999996,9.425190125350154,8.924541589977329
2035-08-29T00:00:00.000,7062.866666666667,-29.999999999999996,8.113867882560674,8.924541589977329
2035-08-29T00:00:00.000,7062.866666666667,-14.999999999999998,8.113867882560674,8.924541589977327
2035-08-29T00:00:00.000,7062.866666666667,0.0,8.113867882560674,8.924541589977327
2035-08-29T00:00:00.000,7062.866666666667,15.000000000000002,8.113867882560674,8.924541589977329
2035-08-29T00:00:00.000,7062.866666666667,29.999999999999996,8.113867882560674,8.924541589977329
2035-08-29T00:00:00.000,8118.422222222222,-29.999999999999996,7.123073952820115,8.924541589977329
2035-08-29T00:00:00.000,8118.422222222222,-14.999999999999998,7.123073952820115,8.924541589977329
2035-08-29T00:00:00.000,8118.422222222222,0.0,7.123073952820115,8.924541589977329
2035-08-29T00:00:00.000,8118.422222222222,15.000000000000002,7.123073952820115,8.924541589977329
2035-08-29T00:00:00.000,8118.422222222222,29.999999999999996,7.123073952820115,8.924541589977329
2035-08-29T00:00:00.000,9173.977777777778,-29.999999999999996,6.348032429725938,8.924541589977329
2035-08-29T00:00:00.000,9173.977777777778,-14.999999999999998,6.348032429725938,8.924541589977329
2035-08-29T00:00:00.000,9173.977777777778,0.0,6.348032429725938,8.924541589977329
2035-08-29T00:00:00.000,9173.977777777778,15.000000000000002,6.348032429725938,8.924541589977329
2035-08-29T00:00:00.000,9173.977777777778,29.999999999999996,6.348032429725938,8.924541589977329
2035-08-29T00:00:00.000,10229.533333333333,-29.999999999999996,5.725163893879401,8.924541589977329
2035-08-29T00:00:00.000,10229.533333333333,-14.999999999999998,5.725163893879401,8.924541589977329
2035-08-29T00:00:00.000,10229.533333333333,0.0,5.725163893879401,8.924541589977329
2035-08-29T00:00:00.000,10229.533333333333,15.000000000000002,5.725163893879401,8.92454158997733
2035-08-29T00:00:00.000,10229.533333333333,29.999999999999996,5.725163893879401,8.924541589977329
2035-08-29T00:00:00.000,11285.08888888889,-29.999999999999996,5.213643761297886,8.92454158997733
2035-08-29T00:00:00.000,11285.08888888889,-14.999999999999998,5.213643761297886,8.924541589977329
2035-08-29T00:00:00.000,11285.08888888889,0.0,5.213643761297886,8.924541589977329
2035-08-29T00:00:00.000,11285.08888888889,15.000000000000002,5.213643761297886,8.924541589977329
2035-08-29T00:00:00.000,11285.08888888889,29.999999999999996,5.213643761297886,8.924541589977329
2035-08-29T00:00:00.000,12340.644444444446,-29.999999999999996,4.7860557472164995,8.924541589977329
2035-08-29T00:00:00.000,12340.644444444446,-14.999999999999998,4.7860557472164995,8.924541589977327
2035-08-29T00:00:00.000,12340.644444444446,0.0,4.7860557472164995,8.924541589977329
