dep_tdb,tof_days,c3,vinf_in_x,vinf_in_y,vinf_in_z,vinf_out_x,vinf_out_y,vinf_out_z,arr_tdb,dep_idx,tof_idx
2035-04-01T00:01:09.186,180.0,53.76079772522844,4.977971819400865,-3.867207345375082,0.8695194700167583,5.817814594329751,0.4970960061170153,-4.434718326109868,2035-09-28T00:01:09.182,0,0
2035-04-01T00:01:09.186,190.0,107.84646622201291,4.47691694521641,-5.476126199225078,3.7691091275706743,5.349780951890591,3.305479863381265,-8.264388232747931,2035-10-08T00:01:09.182,0,1
2035-04-01T00:01:09.186,200.0,330.5282841892435,4.231941294842737,-0.30958705774907713,-14.291230823137642,4.539502090440814,-3.597798479320211,17.23302211053906,2035-10-18T00:01:09.182,0,2
2035-04-01T00:01:09.186,210.0,43.69233479806559,3.181009649317926,-0.9118796915662699,-4.1658359582597955,5.253238316519844,-2.5391265911302945,3.106228926226848,2035-10-28T00:01:09.182,0,3
2035-04-01T00:01:09.186,220.0,32.01120475127523,2.7388337671117036,-1.3498685928053007,-2.7729986181817097,5.2203396745807895,-1.8404843592026694,1.1712710005815516,2035-11-07T00:01:09.183,0,4
2035-04-01T00:01:09.186,230.0,29.707554975120093,2.3869506615210643,-1.599523285995339,-2.258458416284368,5.2215635183319185,-1.5053180302545996,0.4205318381950409,2035-11-17T00:01:09.183,0,5
2035-04-01T00:01:09.186,240.0,29.475851314908603,2.1139702347108535,-1.811322989635375,-2.0212803080465678,5.2714262075897205,-1.2990270503757984,0.02111338998861001,2035-11-27T00:01:09.183,0,6
2035-04-01T00:01:09.186,250.0,30.194140567793294,1.917378730106643,-2.020980407623224,-1.9121391483791044,5.368225473410175,-1.1509343869146456,-0.22725728028120074,2035-12-07T00:01:09.183,0,7
2035-04-01T00:01:09.186,260.0,31.57041777404666,1.7949124927542428,-2.2362587361402664,-1.8740420903756076,5.508935174410131,-1.0319828876725978,-0.39631091045340305,2035-12-17T00:01:09.183,0,8
2035-04-01T00:01:09.186,270.0,33.513314810406804,1.743901679710202,-2.456182130034973,-1.879166380092843,5.690778595845164,-0.9274995428079862,-0.5177821757924104,2035-12-27T00:01:09.184,0,9
2035-04-01T00:01:09.186,280.0,36.001861219939066,1.761318092542048,-2.676791283853184,-1.9115074967218177,5.911477950529625,-0.8288742573171817,-0.6076653074662204,2036-01-06T00:01:09.184,0,10
2035-04-01T00:01:09.186,290.0,39.048806482706524,1.843926276786295,-2.893225091846352,-1.96074215313077,6.169282461000372,-0.7304067851140381,-0.6747342642545213,2036-01-16T00:01:09.184,0,11
2035-04-01T00:01:09.186,300.0,42.68829551474727,1.9884484665752389,-3.100530067452901,-2.0196429266216387,6.462952920296623,-0.6279084551078711,-0.7240621774272284,2036-01-26T00:01:09.185,0,12
2035-04-01T00:01:09.186,310.0,46.97161218041252,2.1916860531581044,-3.293971071438035,-2.082834585615585,6.791740621861984,-0.5179981026712923,-0.7586497685963192,2036-02-05T00:01:09.185,0,13
2035-04-01T00:01:09.186,320.0,51.96629686147159,2.450631002800314,-3.4691330478713134,-2.1461346279350177,7.155372113768116,-0.39770396437342015,-0.7802424826314365,2036-02-15T00:01:09.185,0,14
2035-04-01T00:01:09.186,330.0,57.75709229272852,2.7625636277163252,-3.6219043097054273,-2.2061597917743683,7.554042535851402,-0.26421019031274895,-0.7897636574388205,2036-02-25T00:01:09.185,0,15
2035-04-01T00:01:09.186,340.0,64.44820605899945,3.12513025898987,-3.7483984659783283,-2.2600673911996716,7.988417914028553,-0.11467340573385343,-0.7875501887781748,2036-03-06T00:01:09.185,0,16
2035-04-01T00:01:09.186,350.0,72.16679887619806,3.5364067971011472,-3.844839865588575,-2.305369094539896,8.459646674175037,0.053929298627966915,-0.7734782835133682,2036-03-16T00:01:09.186,0,17
2035-04-01T00:01:09.186,360.0,81.06782807175883,3.9949473285987622,-3.9074231956756704,-2.339782800384053,8.969380582937958,0.2449438024751025,-0.7470224653940463,2036-03-26T00:01:09.186,0,18
2035-04-01T00:01:09.186,370.0,91.34053780995797,4.499818293263676,-3.9321535699018137,-2.3611057468956074,9.519805065474873,0.46218980830209944,-0.7072693308906945,2036-04-05T00:01:09.186,0,19
2035-04-01T00:01:09.186,380.0,103.21706254609249,5.0506352757980935,-3.914663746905381,-2.367097837068423,10.113678880589035,0.7101329738009916,-0.6528960146458029,2036-04-15T00:01:09.186,0,20
2035-04-01T00:01:09.186,390.0,116.98380742290183,5.64759213160821,-3.8499760996871357,-2.35534994699747,10.754381798762687,0.9940925656437756,-0.58211641471053,2036-04-25T00:01:09.186,0,21
2035-04-01T00:01:09.186,400.0,132.99650100730554,6.291452810671043,-3.7322275166345804,-2.323141840088279,11.445965740464512,1.3205002728377657,-0.49259344783865977,2036-05-05T00:01:09.185,0,22
2035-04-01T00:01:09.186,410.0,151.7002174959348,6.98353517596192,-3.55433849047569,-2.2672819446703336,12.193204121104635,1.6972307976893823,-0.38131139031819394,2036-05-15T00:01:09.185,0,23
